;Unnamed: 0;Summons Number;Plate ID;Registration State;Plate Type;Issue Date;Violation Code;Vehicle Body Type;Vehicle Make;Issuing Agency;Street Code1;Street Code2;Street Code3;Vehicle Expiration Date;Violation Location;Violation Precinct;Issuer Precinct;Issuer Code;Issuer Command;Issuer Squad;Violation Time;Time First Observed;Violation County;Violation In Front Of Or Opposite;Number;Street;Intersecting Street;Date First Observed;Law Section;Sub Division;Violation Legal Code;Days Parking In Effect    ;From Hours In Effect;To Hours In Effect;Vehicle Color;Unregistered Vehicle?;Vehicle Year;Meter Number;Feet From Curb;Violation Post Code;Violation Description;No Standing or Stopping Violation;Hydrant Violation;Double Parking Violation
1;1399831;5070680213;9TOPCLAS;NY;OMT;09/14/2013;7;4DSD;DODGE;V;0;0;0;0;;0;0;0;;;1129P;;;;;12TH AVE.(N/B)@W. 57;TH ST.-MM-4;0.0;1111.0;D;T;;;;BK;;2008.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
4;2823881;7645478044;DXX6460;NY;PAS;11/01/2013;20;4DSD;HONDA;T;54790;0;0;20150205;109.0;109;109;358121;T401;N;1134A;;Q;I;S;Maple Ave;100ft E/of Main St;0.0;408.0;d;;YYYYY;0800A;0600P;MR;;1996.0;;0.0;03-A;20A-No Parking (Non-COM);;;
6;3442581;7808737987;EMP3205;NY;PAS;11/22/2013;21;4DSD;VOLKS;T;10440;0;0;20141107;110.0;110;110;341274;T401;L;1136A;;Q;I;S;47th Ave;25ft W/of 111th St;0.0;408.0;d1;;Y;1130A;0100P;GY;;2012.0;;0.0;N -;21-No Parking (street clean);;;
11;7484834;7137865926;EXY5798;NY;PAS;04/28/2014;38;4DSD;ME/BE;T;66390;10290;10340;20160330;108.0;108;108;357061;T401;N;0940A;;Q;F;46-12;Vernon Blvd;;0.0;408.0;h1;;Y;0900A;0700P;BK;;2006.0;;0.0;D 41;38-Failure to Display Muni Rec;;;
19;7385618;5080285515;GFG1274;NY;PAS;04/26/2014;7;4DSD;VOLKS;V;0;0;0;0;;0;0;0;;;0505P;;;;;ATLANTIC AVE (W/B) @;PENNSYLVANIA AVE;0.0;1111.0;D;T;;;;RD;;2004.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
20;8301157;7190766972;PO9928A;GA;PAS;05/28/2014;38;4DSD;SAAB;T;15040;35780;20390;20141188;112.0;112;112;358589;T401;I;0258P;;Q;O;109-33;71st Rd;;0.0;408.0;h1;;Y;0900A;0700P;BLUE;;0.0;;0.0;57-P;38-Failure to Display Muni Rec;;;
21;7865102;8001502417;GGC8943;NY;PAS;05/12/2014;71;4DSD;INFIN;T;19170;0;0;20150428;23.0;23;23;356244;T103;X;0828A;;NY;I;S;E 110th St;45ft E/of 5th Ave;0.0;408.0;j6;;YYYYYYY;;;GY;;2007.0;;0.0;C 77;71A-Insp Sticker Expired (NYS);;;
22;7702273;7699084834;EWE1878;NY;PAS;05/06/2014;20;4DSD;NISSA;T;9030;0;0;20151014;72.0;72;72;356956;T302;G;1219P;;K;I;E;49th St;40ft S/of 7th Ave;0.0;408.0;d;;YYYYYYY;;;BK;;2010.0;;0.0;43 3;20A-No Parking (Non-COM);;;
25;244472;7512329362;DJR2200;NY;PAS;08/02/2013;21;4DSD;NISSA;T;66830;95030;19530;88888888;94.0;94;94;350410;T802;B;0025A;;K;O;103;N 12th St;;0.0;408.0;d1;;Y  Y;1200A;0300A;BROWN;;0.0;;0.0;A -;21-No Parking (street clean);;;
29;1040326;7098726849;GDY5104;NY;PAS;09/03/2013;14;4DSD;TOYOT;T;44290;65130;41460;20141219;112.0;112;112;340066;T401;M;0743A;;Q;O;67-27;Exeter St;;0.0;408.0;c;;YYYYY;0700A;0500P;WH;;2006.0;;0.0;K -;14-No Standing;;;
32;2236162;7188740616;EPF1121;NY;PAS;10/12/2013;38;4DSD;TOYOT;T;74960;50730;14920;20150329;50.0;50;50;358656;T201;C;0902A;;BX;F;185;W 231st St;;0.0;408.0;h1;;Y;0800A;0700P;BLACK;;2006.0;;0.0;20 -;38-Failure to Display Muni Rec;;;
33;386128;7238235353;R445658;IL;PAS;08/08/2013;38;4DSD;INFIN;T;6980;10880;19030;20140288;62.0;62;62;355565;T302;A;0930A;;K;F;8606;19th Ave;;0.0;408.0;h1;;Y;0900A;0700P;BLACK;;0.0;;0.0;27 -;38-Failure to Display Muni Rec;;;
34;4721938;7096339152;FZL8677;NY;PAS;12/03/2013;71;4DSD;HONDA;T;64290;7990;37290;20141114;114.0;114;114;358588;T401;F;1235P;;Q;F;31-64;Steinway St;;0.0;408.0;j6;;YYYYYYY;;;BR;;2006.0;;0.0;31 -;71A-Insp Sticker Expired (NYS);;;
38;9018901;7909567789;NB567Y;NJ;PAS;06/23/2014;37;4DSD;CHEVR;T;10810;34290;34310;88888888;10.0;10;10;357078;T102;D;0949A;0902A;NY;F;345;8th Ave;;0.0;408.0;h1;;Y;0800A;0700P;RED;;0.0;144-3772;0.0;12 6;37-Expired Muni Meter;;;
43;2152942;7033377344;GAD1903;NY;PAS;10/10/2013;38;4DSD;ACURA;T;10020;27840;71220;20140617;52.0;52;52;358141;T201;G;0530P;;BX;F;3205;Bainbridge Ave;;0.0;408.0;h1;;Y;0900A;0700P;TN;;2004.0;;0.0;31 -;38-Failure to Display Muni Rec;;;
45;2409680;7560751441;5217TBK;NY;PAS;10/19/2013;71;4DSD;MERCU;T;59990;15490;15690;20140811;112.0;112;112;357687;T401;A;1041A;;Q;F;110-78;Queens Blvd;;0.0;408.0;j6;;YYYYYYY;;;TAN;;1995.0;;0.0;61-A;71A-Insp Sticker Expired (NYS);;;
53;8553956;7383184361;FTV8403;NY;PAS;06/05/2014;37;4DSD;NISSA;T;29620;49120;49520;20160217;48.0;48;48;359341;T201;J;0248P;0240P;BX;F;816;E Tremont Ave;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2013.0;205-3018;0.0;57 2;37-Expired Muni Meter;;;
57;4963386;7225957417;GEL2503;NY;PAS;12/30/2013;21;4DSD;NISSA;T;37280;56230;26230;20150314;67.0;67;67;358667;T302;O;0844A;;K;F;150;E 56th St;;0.0;408.0;d1;;Y  Y;0830A;1000A;GY;;1999.0;;0.0;28 -;21-No Parking (street clean);;;
66;8997989;7530345795;DNU7358;NY;PAS;06/21/2014;38;4DSD;NISSA;T;27530;0;0;20140628;84.0;84;84;358601;T301;G;1119A;;K;I;E;Clinton St;30ft S/of Pierrepont;0.0;408.0;h1;;Y;0800A;0700P;GY;;2003.0;;0.0;01 3;38-Failure to Display Muni Rec;;;
68;6531351;5073140606;T626427C;NY;OMT;03/27/2014;7;4DSD;LINCO;V;0;0;0;0;;0;0;0;;;0944A;;;;;BORDEN AVE.(E/B)@GRE;ENPOINT AVE.-RT-2;0.0;1111.0;D;T;;;;BK;;2011.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
73;6727050;7095266554;GPF1467;NY;PAS;04/25/2014;20;4DSD;BMW;T;0;40404;40404;20160105;32.0;32;32;331733;T800;A2;0816P;;NY;F;2463;Frederick Douglass B;;0.0;408.0;d;;YYYYYYY;;;WH;;2002.0;;0.0;F 77;20A-No Parking (Non-COM);;;
74;6993051;7001028289;FZF1138;NY;PAS;04/17/2014;38;4DSD;BMW;T;8790;16990;17140;20150719;115.0;115;115;357347;T401;I;1252P;;Q;F;83-22;37th Ave;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2006.0;;0.0;51-A;38-Failure to Display Muni Rec;;;
75;1311850;7506240439;GEJ7593;NY;PAS;09/12/2013;20;4DSD;LEXUS;T;68930;20110;77730;20150304;84.0;84;84;356569;T301;B;1234P;;K;F;246;Pacific St;;0.0;408.0;d;;YYYYY;0800A;0600P;DKB;;2007.0;;0.0;01 -;20A-No Parking (Non-COM);;;
76;385396;4001618308;EDT1381;NY;PAS;08/08/2013;5;4DSD;TOYOT;V;0;0;0;0;;0;0;0;;;0731A;;;;;WB FORDHAM RD @ MARI;ON AVE;0.0;1111.0;C;T;;;;GY;;2008.0;;0.0;;BUS LANE VIOLATION;;;
81;7685445;7953468876;GMT7109;NY;PAS;05/06/2014;40;4DSD;INFIN;T;65620;26430;26490;20151217;40.0;40;40;353126;T201;M;0554A;;BX;F;839;St Anns Ave;;0.0;408.0;e2;;YYYYYYY;;;GY;;2004.0;;8.0;I 21;40-Fire Hydrant;;;
